"id","Seen_StarWars","Fan","Han_Solo","Luke_Skywalker","Princess.Leia","Anakin.Skywalker","Obi_Wan","Emperor_Palpatine","Darth_Vader","Lando_Calrissian","Boba.Fett","C3P0","R2D2","Jar_Jar_Binks","Padme_Amidala","Yoda","Who_shot_first","Gender","Age","Household_Income","Education"
3292637870,"Yes","","","","","","","","","","","","","","","","","",NA,"",""
3292635062,"No","","","","","","","","","","","","","","","","","",NA,"",""
3292609214,"Yes","No","Somewhat favorably","Very favorably","Somewhat favorably","Somewhat favorably","Somewhat favorably","Somewhat favorably","Very favorably","Neither favorably nor unfavorably (neutral)","Somewhat favorably","Very favorably","Very favorably","Very favorably","Somewhat favorably","Very favorably","Greedo","Male",22,"$25,000 - $49,999","Bachelor degree"
3292596911,"Yes","Yes","Very favorably","Very favorably","Very favorably","Somewhat favorably","Very favorably","Unfamiliar (N/A)","Very unfavorably","Unfamiliar (N/A)","Neither favorably nor unfavorably (neutral)","Very favorably","Very favorably","Unfamiliar (N/A)","Very favorably","Very favorably","I don't understand this question","Male",36,"$50,000 - $99,999","Graduate degree"
3292587240,"Yes","Yes","Somewhat favorably","Very favorably","Very favorably","Somewhat favorably","Very favorably","Very unfavorably","Very unfavorably","Very unfavorably","Very unfavorably","Very favorably","Very favorably","Very favorably","Very favorably","Very favorably","Han","Male",27,"","High school degree"
3292583038,"Yes","Yes","Very favorably","Somewhat favorably","Somewhat favorably","Somewhat unfavorably","Very favorably","Somewhat favorably","Very favorably","Somewhat favorably","Very favorably","Somewhat unfavorably","Neither favorably nor unfavorably (neutral)","Very unfavorably","Very unfavorably","Somewhat favorably","Han","Male",27,"$0 - $24,999","Some college or Associate degree"
3292580516,"Yes","Yes","Neither favorably nor unfavorably (neutral)","Somewhat favorably","Somewhat unfavorably","Neither favorably nor unfavorably (neutral)","Very unfavorably","Somewhat favorably","Somewhat unfavorably","Neither favorably nor unfavorably (neutral)","Somewhat favorably","Neither favorably nor unfavorably (neutral)","Somewhat unfavorably","Neither favorably nor unfavorably (neutral)","Somewhat unfavorably","Very unfavorably","Han","Male",29,"$50,000 - $99,999","Bachelor degree"
3292572872,"Yes","Yes","Very favorably","Very favorably","Very favorably","Very favorably","Very favorably","Somewhat favorably","Very favorably","Neither favorably nor unfavorably (neutral)","Somewhat favorably","Very favorably","Very favorably","Very favorably","Very favorably","Very favorably","Greedo","Male",28,"","Some college or Associate degree"
3292565282,"Yes","Yes","Very favorably","Very favorably","Very favorably","Very favorably","Very favorably","Very favorably","Very favorably","Somewhat favorably","Very favorably","Very favorably","Very favorably","Very unfavorably","Somewhat unfavorably","Very favorably","Han","Male",19,"","High school degree"
3292562297,"Yes","Yes","Very favorably","Somewhat favorably","Very favorably","Very favorably","Somewhat favorably","Somewhat unfavorably","Very favorably","Very unfavorably","Very favorably","Somewhat favorably","Very favorably","Somewhat unfavorably","Very favorably","Very favorably","Greedo","Male",26,"$50,000 - $99,999","Some college or Associate degree"
3292522349,"Yes","Yes","Very favorably","Very favorably","Somewhat favorably","Somewhat favorably","Very favorably","Neither favorably nor unfavorably (neutral)","Somewhat favorably","Neither favorably nor unfavorably (neutral)","Very favorably","Somewhat favorably","Somewhat favorably","Very unfavorably","Neither favorably nor unfavorably (neutral)","Very favorably","Han","Male",20,"","Some college or Associate degree"
3292521066,"Yes","No","Neither favorably nor unfavorably (neutral)","Neither favorably nor unfavorably (neutral)","Neither favorably nor unfavorably (neutral)","Neither favorably nor unfavorably (neutral)","Neither favorably nor unfavorably (neutral)","Neither favorably nor unfavorably (neutral)","Neither favorably nor unfavorably (neutral)","Neither favorably nor unfavorably (neutral)","Neither favorably nor unfavorably (neutral)","Neither favorably nor unfavorably (neutral)","Neither favorably nor unfavorably (neutral)","Neither favorably nor unfavorably (neutral)","Neither favorably nor unfavorably (neutral)","Neither favorably nor unfavorably (neutral)","I don't understand this question","Male",29,"","Bachelor degree"
3292511801,"Yes","Yes","Very favorably","Very favorably","Very favorably","Neither favorably nor unfavorably (neutral)","Very favorably","Very unfavorably","Somewhat favorably","Somewhat favorably","Somewhat unfavorably","Very favorably","Very favorably","Very unfavorably","Neither favorably nor unfavorably (neutral)","Very favorably","Greedo","Male",29,"$50,000 - $99,999","Bachelor degree"
3292483200,"Yes","Yes","Very favorably","Somewhat favorably","Somewhat favorably","Somewhat unfavorably","Somewhat favorably","Somewhat favorably","Very favorably","Neither favorably nor unfavorably (neutral)","Neither favorably nor unfavorably (neutral)","Somewhat favorably","Very favorably","Somewhat favorably","Neither favorably nor unfavorably (neutral)","Very favorably","Han","Male",19,"$0 - $24,999","Bachelor degree"
3292465491,"Yes","Yes","Very favorably","Very favorably","Very favorably","Very favorably","Very favorably","Very favorably","Very favorably","Very favorably","Very favorably","Very favorably","Very favorably","Very favorably","Very favorably","Very favorably","Han","Male",24,"",""
3292447974,"No","","","","","","","","","","","","","","","","","Male",29,"$0 - $24,999","High school degree"
3292420123,"Yes","Yes","Very favorably","Somewhat favorably","Somewhat favorably","Somewhat favorably","Very favorably","Somewhat favorably","Somewhat favorably","Somewhat favorably","Very favorably","Very favorably","Very favorably","Very unfavorably","Somewhat favorably","Very favorably","Greedo","Male",26,"$100,000 - $149,999","Some college or Associate degree"
3292384040,"Yes","Yes","Very favorably","Very favorably","Very favorably","Somewhat favorably","Very favorably","Very unfavorably","Very unfavorably","Somewhat favorably","Somewhat unfavorably","Very favorably","Very favorably","Very favorably","Very favorably","Very favorably","Greedo","Male",29,"","Some college or Associate degree"
3292380493,"Yes","Yes","Very favorably","Somewhat favorably","Neither favorably nor unfavorably (neutral)","Very unfavorably","Very unfavorably","Very unfavorably","Very favorably","Very favorably","Somewhat favorably","Very unfavorably","Somewhat unfavorably","Very unfavorably","Very unfavorably","Very favorably","Han","Male",29,"","Some college or Associate degree"
3292376985,"Yes","Yes","Very favorably","Very favorably","Very favorably","Very unfavorably","Very favorably","Very favorably","Very favorably","Very favorably","Very favorably","Very favorably","Very favorably","Unfamiliar (N/A)","Very unfavorably","Very favorably","Han","Male",21,"$150,000+","Some college or Associate degree"
3292366792,"Yes","No","Neither favorably nor unfavorably (neutral)","Neither favorably nor unfavorably (neutral)","Neither favorably nor unfavorably (neutral)","Neither favorably nor unfavorably (neutral)","Somewhat favorably","Unfamiliar (N/A)","Somewhat favorably","Somewhat favorably","Somewhat favorably","Somewhat favorably","Somewhat favorably","Somewhat unfavorably","Unfamiliar (N/A)","Somewhat favorably","I don't understand this question","Male",30,"$0 - $24,999","High school degree"
3292339379,"Yes","Yes","Very favorably","Very favorably","Very favorably","Very favorably","Very favorably","Very favorably","Very favorably","Very favorably","Very favorably","Very favorably","Very favorably","Very unfavorably","Very favorably","Very favorably","Han","Male",32,"$50,000 - $99,999","Some college or Associate degree"
3292330840,"Yes","No","Somewhat unfavorably","Somewhat unfavorably","Somewhat unfavorably","Somewhat unfavorably","Somewhat unfavorably","Somewhat unfavorably","Somewhat unfavorably","Somewhat unfavorably","Somewhat unfavorably","Somewhat unfavorably","Somewhat unfavorably","Somewhat unfavorably","Somewhat unfavorably","Somewhat unfavorably","Han","Male",21,"",""
3292318652,"Yes","No","","","","","","","","","","","","","","","Han","Male",19,"$50,000 - $99,999","High school degree"
3292297848,"No","","","","","","","","","","","","","","","","","Male",43,"$50,000 - $99,999","Graduate degree"
3292290677,"Yes","Yes","Very favorably","Very favorably","Very favorably","Very favorably","Very favorably","Somewhat favorably","Somewhat favorably","Neither favorably nor unfavorably (neutral)","Very favorably","Very favorably","Very favorably","Very unfavorably","Very favorably","Very favorably","Han","Male",38,"$150,000+","Graduate degree"
3292281095,"Yes","Yes","Somewhat favorably","Neither favorably nor unfavorably (neutral)","Neither favorably nor unfavorably (neutral)","Very favorably","Somewhat favorably","Neither favorably nor unfavorably (neutral)","Somewhat favorably","Neither favorably nor unfavorably (neutral)","Neither favorably nor unfavorably (neutral)","Neither favorably nor unfavorably (neutral)","Neither favorably nor unfavorably (neutral)","Neither favorably nor unfavorably (neutral)","Neither favorably nor unfavorably (neutral)","Neither favorably nor unfavorably (neutral)","Greedo","Male",19,"$0 - $24,999","Bachelor degree"
3292279889,"Yes","Yes","Very favorably","Somewhat favorably","Very favorably","Somewhat favorably","Very favorably","Somewhat unfavorably","Very unfavorably","Neither favorably nor unfavorably (neutral)","Somewhat unfavorably","Neither favorably nor unfavorably (neutral)","Somewhat favorably","Neither favorably nor unfavorably (neutral)","Somewhat favorably","Somewhat favorably","Han","Male",24,"","Some college or Associate degree"
3292264069,"Yes","Yes","Somewhat favorably","Somewhat favorably","Somewhat favorably","Somewhat favorably","Somewhat favorably","Somewhat favorably","Somewhat favorably","Somewhat favorably","Somewhat favorably","Somewhat favorably","Somewhat favorably","Neither favorably nor unfavorably (neutral)","Somewhat favorably","Somewhat favorably","Han","Male",34,"$50,000 - $99,999","Bachelor degree"
3292257520,"Yes","Yes","Very favorably","Very favorably","Very favorably","Somewhat favorably","Very favorably","Somewhat unfavorably","Very favorably","Somewhat favorably","Very favorably","Very favorably","Very favorably","Neither favorably nor unfavorably (neutral)","Very favorably","Very favorably","Greedo","Male",33,"$0 - $24,999","High school degree"
3292249492,"Yes","Yes","Very favorably","Very favorably","Very favorably","Neither favorably nor unfavorably (neutral)","Very favorably","Somewhat favorably","Very favorably","Very favorably","Neither favorably nor unfavorably (neutral)","Very favorably","Very favorably","Very unfavorably","Neither favorably nor unfavorably (neutral)","Very favorably","Han","Male",32,"$100,000 - $149,999","Graduate degree"
3292222729,"Yes","Yes","Very favorably","Very favorably","Very favorably","Somewhat favorably","Very favorably","Somewhat favorably","Very favorably","Very favorably","Very favorably","Somewhat favorably","Somewhat favorably","Somewhat favorably","Somewhat favorably","Very favorably","Han","Male",31,"$100,000 - $149,999","Graduate degree"
3292221635,"Yes","Yes","Very favorably","Very favorably","Very favorably","Somewhat favorably","Very favorably","Somewhat favorably","Somewhat favorably","Somewhat favorably","Very favorably","Somewhat unfavorably","Somewhat favorably","Very unfavorably","Somewhat favorably","Neither favorably nor unfavorably (neutral)","Greedo","Male",26,"$25,000 - $49,999","Bachelor degree"
3292218251,"Yes","Yes","Very favorably","Very favorably","Very favorably","Somewhat favorably","Very favorably","Somewhat favorably","Very favorably","Somewhat favorably","Somewhat favorably","Very favorably","Very favorably","Very unfavorably","Very favorably","Very favorably","Han","Male",18,"$150,000+","Bachelor degree"
3292214307,"Yes","Yes","Very favorably","Very favorably","Very favorably","Somewhat favorably","Somewhat favorably","Somewhat favorably","Somewhat favorably","Somewhat favorably","Somewhat favorably","Somewhat favorably","Somewhat favorably","Neither favorably nor unfavorably (neutral)","Somewhat unfavorably","Somewhat favorably","Han","Male",22,"$25,000 - $49,999","High school degree"
3292210606,"Yes","Yes","Very favorably","Very favorably","Very favorably","Somewhat favorably","Very favorably","Somewhat favorably","Very favorably","Very favorably","Very favorably","Very favorably","Very favorably","Very unfavorably","Very favorably","Very favorably","Han","Male",18,"","Some college or Associate degree"
3292202220,"No","","","","","","","","","","","","","","","","","Male",21,"$0 - $24,999","High school degree"
3292189580,"Yes","Yes","Very favorably","Very favorably","Very favorably","Somewhat unfavorably","Very favorably","Very unfavorably","Very unfavorably","Somewhat unfavorably","Very unfavorably","Very favorably","Very favorably","Very favorably","Very favorably","Very favorably","Han","Male",42,"$50,000 - $99,999","Some college or Associate degree"
3292187343,"Yes","No","Very favorably","Very favorably","Very favorably","Neither favorably nor unfavorably (neutral)","Somewhat favorably","Unfamiliar (N/A)","Somewhat unfavorably","Unfamiliar (N/A)","Somewhat unfavorably","Somewhat favorably","Somewhat favorably","Very unfavorably","Neither favorably nor unfavorably (neutral)","Very favorably","Greedo","Male",21,"$50,000 - $99,999","Some college or Associate degree"
3292186608,"No","","","","","","","","","","","","","","","","","Male",32,"$50,000 - $99,999","Graduate degree"
3292178389,"Yes","Yes","Very favorably","Somewhat favorably","Very favorably","Somewhat favorably","Very favorably","Somewhat favorably","Very favorably","Neither favorably nor unfavorably (neutral)","Very favorably","Neither favorably nor unfavorably (neutral)","Very favorably","Very unfavorably","Somewhat favorably","Very favorably","Greedo","Male",28,"$50,000 - $99,999","Bachelor degree"
3292176862,"Yes","Yes","Neither favorably nor unfavorably (neutral)","Somewhat favorably","Somewhat favorably","Somewhat favorably","Very favorably","Very favorably","Somewhat favorably","Somewhat unfavorably","Somewhat favorably","Very favorably","Very favorably","Neither favorably nor unfavorably (neutral)","Somewhat favorably","Very favorably","Han","Male",28,"","High school degree"
3292173922,"Yes","Yes","Very favorably","Very favorably","Very favorably","Very favorably","Very favorably","Somewhat favorably","Very favorably","Very favorably","Somewhat favorably","Somewhat favorably","Very favorably","Somewhat favorably","Somewhat favorably","Very favorably","I don't understand this question","Male",31,"$50,000 - $99,999","Some college or Associate degree"
3292167131,"Yes","Yes","Very favorably","Very favorably","Very favorably","Somewhat favorably","Somewhat favorably","Somewhat favorably","Somewhat favorably","Somewhat favorably","Somewhat favorably","Somewhat favorably","Somewhat favorably","Somewhat unfavorably","Very unfavorably","Somewhat favorably","Han","Male",22,"$25,000 - $49,999","High school degree"
3292162057,"Yes","Yes","Very favorably","Somewhat favorably","Somewhat favorably","Somewhat favorably","Very favorably","Somewhat favorably","Very favorably","Somewhat favorably","Very favorably","Neither favorably nor unfavorably (neutral)","Somewhat favorably","Unfamiliar (N/A)","Neither favorably nor unfavorably (neutral)","Somewhat favorably","Greedo","Male",22,"$100,000 - $149,999","Some college or Associate degree"
3292161407,"No","","","","","","","","","","","","","","","","","Male",28,"","High school degree"
3292156614,"Yes","Yes","Very favorably","Very favorably","Very favorably","Somewhat favorably","Very favorably","Very favorably","Very favorably","Very favorably","Very favorably","Very favorably","Very favorably","Very unfavorably","Somewhat favorably","Very favorably","Han","Male",23,"$150,000+","Bachelor degree"
3292148570,"Yes","Yes","Very favorably","Somewhat favorably","Somewhat favorably","Neither favorably nor unfavorably (neutral)","Neither favorably nor unfavorably (neutral)","Neither favorably nor unfavorably (neutral)","Somewhat favorably","Neither favorably nor unfavorably (neutral)","Somewhat favorably","Very favorably","Somewhat favorably","Very unfavorably","Somewhat unfavorably","Somewhat favorably","Han","Male",27,"$50,000 - $99,999","Graduate degree"
3292144665,"Yes","Yes","Very favorably","Very favorably","Very favorably","Very unfavorably","Very favorably","Somewhat favorably","Very favorably","Very favorably","Very favorably","Very favorably","Very favorably","Very unfavorably","Very favorably","Very favorably","Han","Male",25,"$0 - $24,999","High school degree"
3292143503,"Yes","No","Somewhat favorably","Somewhat favorably","Somewhat favorably","Somewhat favorably","Very favorably","Unfamiliar (N/A)","Very unfavorably","Unfamiliar (N/A)","Very favorably","Somewhat unfavorably","Very favorably","Very unfavorably","Somewhat favorably","Somewhat favorably","I don't understand this question","Male",24,"$50,000 - $99,999","Bachelor degree"
3292131636,"Yes","Yes","Very favorably","Very favorably","Very favorably","Somewhat unfavorably","Somewhat favorably","Neither favorably nor unfavorably (neutral)","Very favorably","Somewhat unfavorably","Very favorably","Very unfavorably","Somewhat favorably","Unfamiliar (N/A)","Neither favorably nor unfavorably (neutral)","Neither favorably nor unfavorably (neutral)","Greedo","Male",20,"$150,000+","Bachelor degree"
3292125068,"Yes","Yes","","Somewhat unfavorably","Somewhat favorably","","Somewhat unfavorably","","","","","","","","","","Greedo","Male",43,"$100,000 - $149,999","Graduate degree"
3292120160,"Yes","Yes","Very favorably","Very favorably","Very favorably","Somewhat favorably","Very favorably","Somewhat favorably","Very favorably","Very favorably","Very favorably","Somewhat favorably","Very favorably","Neither favorably nor unfavorably (neutral)","Neither favorably nor unfavorably (neutral)","Very favorably","Han","Male",26,"$100,000 - $149,999","Some college or Associate degree"
3292103680,"Yes","Yes","Very favorably","Very favorably","Very favorably","Somewhat unfavorably","Very favorably","Very unfavorably","Somewhat unfavorably","Somewhat unfavorably","Somewhat unfavorably","Very favorably","Very favorably","Very unfavorably","Somewhat favorably","Very favorably","Greedo","Male",39,"$50,000 - $99,999","Some college or Associate degree"
3292050153,"Yes","No","Somewhat favorably","Somewhat favorably","Somewhat favorably","Somewhat favorably","Very favorably","Unfamiliar (N/A)","Very favorably","Neither favorably nor unfavorably (neutral)","Neither favorably nor unfavorably (neutral)","Neither favorably nor unfavorably (neutral)","Somewhat favorably","Neither favorably nor unfavorably (neutral)","Neither favorably nor unfavorably (neutral)","Somewhat favorably","I don't understand this question","Male",18,"$0 - $24,999","Some college or Associate degree"
3292041365,"Yes","Yes","Somewhat favorably","Neither favorably nor unfavorably (neutral)","Somewhat favorably","Neither favorably nor unfavorably (neutral)","Somewhat favorably","Somewhat unfavorably","Very favorably","Somewhat favorably","Very favorably","Somewhat favorably","Very favorably","Somewhat unfavorably","Somewhat favorably","Very favorably","Han","Male",21,"$150,000+","Some college or Associate degree"
3292033243,"Yes","Yes","Very favorably","Very favorably","Very favorably","Somewhat favorably","Very favorably","Very favorably","Very favorably","Very favorably","Very favorably","Very favorably","Very favorably","Somewhat unfavorably","Somewhat favorably","Very favorably","Greedo","Male",23,"$50,000 - $99,999","Some college or Associate degree"
3292031637,"Yes","No","Very favorably","Very favorably","Very favorably","Somewhat favorably","Very favorably","Unfamiliar (N/A)","Very favorably","Unfamiliar (N/A)","Somewhat favorably","Somewhat favorably","Somewhat favorably","Very unfavorably","Unfamiliar (N/A)","Somewhat favorably","I don't understand this question","Male",27,"$25,000 - $49,999","Graduate degree"
3292008762,"Yes","Yes","Very favorably","Somewhat favorably","Somewhat favorably","Very unfavorably","Very favorably","Very favorably","Very favorably","Very favorably","Somewhat favorably","Neither favorably nor unfavorably (neutral)","Neither favorably nor unfavorably (neutral)","Very unfavorably","Somewhat unfavorably","Somewhat favorably","Han","Male",18,"$25,000 - $49,999","Some college or Associate degree"
3291992352,"Yes","Yes","Very favorably","Very favorably","Very favorably","Somewhat unfavorably","","Somewhat favorably","Very favorably","Very favorably","Neither favorably nor unfavorably (neutral)","Very favorably","Very unfavorably","","Very favorably","Very favorably","Greedo","Male",34,"$100,000 - $149,999","Graduate degree"
3291945498,"Yes","Yes","Very favorably","Somewhat favorably","Very favorably","Somewhat unfavorably","Very favorably","Neither favorably nor unfavorably (neutral)","Somewhat favorably","Somewhat favorably","Somewhat favorably","Very favorably","Very favorably","Unfamiliar (N/A)","Somewhat unfavorably","Somewhat favorably","Han","Male",38,"$50,000 - $99,999","Graduate degree"
3291940517,"Yes","Yes","Very favorably","Somewhat favorably","Somewhat favorably","Somewhat favorably","Somewhat favorably","Somewhat favorably","Somewhat favorably","Neither favorably nor unfavorably (neutral)","Somewhat favorably","Somewhat favorably","Very favorably","Very unfavorably","Somewhat favorably","Very favorably","Han","Male",28,"$100,000 - $149,999","Bachelor degree"
3291871486,"Yes","Yes","Very favorably","Very favorably","Very favorably","Somewhat favorably","Very favorably","Very favorably","Very favorably","Very favorably","Very favorably","Very favorably","Very favorably","Very unfavorably","Very favorably","Very favorably","Greedo","Male",25,"$100,000 - $149,999","Graduate degree"
3291778150,"Yes","Yes","Very favorably","Very favorably","Very favorably","Very favorably","Very favorably","Very favorably","Very favorably","Neither favorably nor unfavorably (neutral)","Very favorably","Very favorably","Very favorably","Very favorably","Very favorably","Very favorably","Greedo","Male",23,"$25,000 - $49,999","Bachelor degree"
3291766314,"Yes","No","Very favorably","Somewhat favorably","Very favorably","Neither favorably nor unfavorably (neutral)","Somewhat favorably","Neither favorably nor unfavorably (neutral)","Neither favorably nor unfavorably (neutral)","Neither favorably nor unfavorably (neutral)","Somewhat unfavorably","Very favorably","Very favorably","Very favorably","Somewhat favorably","Very favorably","I don't understand this question","Male",41,"$50,000 - $99,999","High school degree"
3291762799,"Yes","Yes","Very favorably","Very favorably","Very favorably","Very favorably","Very favorably","Neither favorably nor unfavorably (neutral)","Somewhat favorably","Neither favorably nor unfavorably (neutral)","Somewhat unfavorably","Very favorably","Very favorably","Somewhat unfavorably","Somewhat unfavorably","Very favorably","Greedo","Male",41,"$50,000 - $99,999","Some college or Associate degree"
3291707153,"Yes","No","Somewhat favorably","Very favorably","Very favorably","Somewhat favorably","Somewhat favorably","Neither favorably nor unfavorably (neutral)","Somewhat unfavorably","Neither favorably nor unfavorably (neutral)","Somewhat unfavorably","Somewhat favorably","Somewhat favorably","Somewhat favorably","Neither favorably nor unfavorably (neutral)","Very favorably","Greedo","Male",35,"$50,000 - $99,999","Bachelor degree"
3291701619,"Yes","Yes","Very favorably","Very favorably","Somewhat favorably","Somewhat favorably","Somewhat favorably","Somewhat unfavorably","Neither favorably nor unfavorably (neutral)","Very favorably","Very favorably","Somewhat favorably","Somewhat favorably","Very unfavorably","Neither favorably nor unfavorably (neutral)","Very favorably","Greedo","Male",26,"","Bachelor degree"
3291696391,"Yes","Yes","Very favorably","Very favorably","Very favorably","Somewhat favorably","Very favorably","Neither favorably nor unfavorably (neutral)","Very favorably","Somewhat favorably","Very favorably","Somewhat favorably","Very favorably","Very unfavorably","Neither favorably nor unfavorably (neutral)","Somewhat favorably","Han","Male",32,"$100,000 - $149,999","Bachelor degree"
3291684768,"Yes","Yes","Very favorably","Very favorably","Very favorably","Somewhat unfavorably","Very favorably","Neither favorably nor unfavorably (neutral)","Very unfavorably","Somewhat favorably","Very unfavorably","Somewhat favorably","Somewhat favorably","Very unfavorably","Very favorably","Very favorably","Han","Male",44,"$100,000 - $149,999","Graduate degree"
3291669388,"Yes","","","","","","","","","","","","","","","","","",NA,"",""
3291661584,"Yes","No","Somewhat favorably","Somewhat favorably","Somewhat favorably","Neither favorably nor unfavorably (neutral)","Somewhat favorably","Neither favorably nor unfavorably (neutral)","Somewhat favorably","Unfamiliar (N/A)","Neither favorably nor unfavorably (neutral)","Somewhat favorably","Somewhat favorably","Unfamiliar (N/A)","Unfamiliar (N/A)","Somewhat favorably","I don't understand this question","Male",64,"$50,000 - $99,999","Some college or Associate degree"
3291658046,"Yes","Yes","Somewhat favorably","Somewhat favorably","Neither favorably nor unfavorably (neutral)","Somewhat favorably","Very favorably","Neither favorably nor unfavorably (neutral)","Somewhat favorably","Neither favorably nor unfavorably (neutral)","Neither favorably nor unfavorably (neutral)","Very favorably","Very favorably","Very favorably","Neither favorably nor unfavorably (neutral)","Very favorably","Greedo","Male",41,"","Graduate degree"
3291654919,"Yes","Yes","Very favorably","Very favorably","Very favorably","Somewhat favorably","Very favorably","Very unfavorably","Very unfavorably","Very favorably","Very unfavorably","Very favorably","Very favorably","Very unfavorably","Very favorably","Very favorably","Greedo","Male",81,"$50,000 - $99,999","Graduate degree"
3291653882,"No","","","","","","","","","","","","","","","","","Male",29,"$50,000 - $99,999","Some college or Associate degree"
3291650311,"Yes","Yes","Very favorably","Very favorably","Very favorably","Very favorably","Very favorably","Very favorably","Very favorably","Somewhat favorably","Somewhat favorably","Very favorably","Very favorably","Very unfavorably","Somewhat favorably","Very favorably","Han","Male",43,"$25,000 - $49,999","Some college or Associate degree"
3291649780,"No","","","","","","","","","","","","","","","","","",NA,"",""
3291648660,"No","","","","","","","","","","","","","","","","","Male",78,"",""
3291641416,"Yes","No","Very favorably","Somewhat favorably","Somewhat favorably","Neither favorably nor unfavorably (neutral)","Somewhat favorably","Neither favorably nor unfavorably (neutral)","Neither favorably nor unfavorably (neutral)","Neither favorably nor unfavorably (neutral)","Somewhat unfavorably","Neither favorably nor unfavorably (neutral)","Somewhat favorably","Somewhat unfavorably","","Very favorably","Greedo","Male",72,"$100,000 - $149,999","Graduate degree"
3291635934,"No","","","","","","","","","","","","","","","","","Male",85,"$25,000 - $49,999","Some college or Associate degree"
3291634205,"Yes","No","Very favorably","Neither favorably nor unfavorably (neutral)","Neither favorably nor unfavorably (neutral)","Neither favorably nor unfavorably (neutral)","Neither favorably nor unfavorably (neutral)","Unfamiliar (N/A)","Somewhat favorably","Neither favorably nor unfavorably (neutral)","Neither favorably nor unfavorably (neutral)","Somewhat unfavorably","Neither favorably nor unfavorably (neutral)","Very unfavorably","Neither favorably nor unfavorably (neutral)","Somewhat favorably","Han","Male",38,"$0 - $24,999","Bachelor degree"
3291618031,"Yes","No","Very favorably","Somewhat favorably","Somewhat favorably","Very unfavorably","Very favorably","Unfamiliar (N/A)","Neither favorably nor unfavorably (neutral)","Unfamiliar (N/A)","Neither favorably nor unfavorably (neutral)","Very favorably","Somewhat favorably","Very unfavorably","Unfamiliar (N/A)","Very favorably","Han","Male",22,"","Bachelor degree"
3291603688,"No","","","","","","","","","","","","","","","","","Male",29,"$25,000 - $49,999",""
